,rating,text,word_count
0,4 sao,"1. Món ăn ngon nhưng phải chờ quá lâu, và ngộ đời nhất là đã ra món chậm rồi, mang ra 1 dĩa, ng kia ăn xong lâu rồi mới có dĩa còn lại.
2. Giá ổn nên thấy nhiều bạn trẻ vô và mang cả hoa và quà, mặc đồ rất đẹp.
3. Không gian nhỏ xinh, dễ thương.

Biết là quán đông, ngon, giá tốt nhưng để chờ cả 40-45ph để ra 1 món ăn và 2 đĩa chênh lệch là ko đáng.
Nên mua grab về nhà ăn cho khoẻ.",93
1,5 sao,Bữa ăn ngon dịch vụ tốt các bạn nhân viên nhiệt tình nên rất hài lòng với bữa ăn này,20
2,5 sao,"Không gian ấm cúng sang trọng , đồ ăn ngon , nhân viên nhiệt tình chu đáo .
Giá cả hợp lí",22
3,5 sao,"Đồ ăn ngon đó nhee, giá cả quá ư là hợp lý luôn:33",13
4,5 sao,"Đồ ăn ngon, phục vụ nhiệt tình, thân thiện, không gian rất thoải mái và riêng tư, cuối buổi còn được tặng quà ảnh kỷ niệm. Sẽ ghé lại vào tương lai.",32
5,5 sao,"Đồ ăn ngon đó nhee, giá cả quá ư là hợp lý luôn:33",13
6,5 sao,"Quán có không gian rộng rãi thoải mái
Đồ ăn ngon và vừa miệng
Lần sau sẽ quay lại nữa ạ",21
7,5 sao,"Đồ ăn ngon, nhân viên phục vụ nhiệt tình, sẽ quay lại.",12
8,5 sao,"Đồ ăn nêm nếm vừa vặn, cực kì ngon luôn ạ!!! Trang trí siêu xinh, giá cả phải chăng, nhân viên tận tình từ ngoài cổng luôn ạ!!! Nhân viên phục vụ nhiệt tình, còn được tặng rửa ngay tấm ảnh kỉ niệm thiệt đáng iuu và siêu đáng iuuu luôn ạ!!! 10 điểm không có nhưng ạ!!! ❤️",59
9,1 sao,"Chất lượng món ăn: 1*
Không gian: 2*
Phục vụ: 2*
Giá cả: 4*

Chất lượng món ăn tệ, thực sự mình chưa từng ăn món steak chỗ nào tệ như nhà hàng này. Thịt bò vừa ít, vừa dai kinh khủng khiếp 😱. Giá cao tương đương quận 1 như  love steak nhưng chất lượng cực tệ, view tệ, không gian nhỏ hẹp và cũ kỹ. Nhà hàng thu thuế, service fee, nhưng không thấy bất kỳ service gi??? Sẽ không ghé lại, cũng như  không recommend bạn bè.",90
