place_name,user,rating,time,text
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Nguyễn Phương Uyên,5 sao,một tuần trước,Bữa ăn ngon dịch vụ tốt các bạn nhân viên nhiệt tình nên rất hài lòng với bữa ăn này
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Hào Trần Tấn,5 sao,một tuần trước,"Không gian ấm cúng sang trọng , đồ ăn ngon , nhân viên nhiệt tình chu đáo .
Giá cả hợp lí"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",VIỆT PHAN BẢO,5 sao,3 tháng trước,"Đồ ăn ngon đó nhee, giá cả quá ư là hợp lý luôn:33"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Hồ Trương Quốc Huy,5 sao,một tuần trước,"Đồ ăn ngon, phục vụ nhiệt tình, thân thiện, không gian rất thoải mái và riêng tư, cuối buổi còn được tặng quà ảnh kỷ niệm. Sẽ ghé lại vào tương lai."
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Phương Trang HN.,5 sao,2 tháng trước,"Đồ ăn ngon đó nhee, giá cả quá ư là hợp lý luôn:33"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Hân Ngọc,5 sao,một tháng trước,"Quán có không gian rộng rãi thoải mái
Đồ ăn ngon và vừa miệng
Lần sau sẽ quay lại nữa ạ"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Huyền Nguyễn Thị,5 sao,một tháng trước,"Đồ ăn ngon, nhân viên phục vụ nhiệt tình, sẽ quay lại."
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Thuong Nguyen,5 sao,4 tháng trước,"Đồ ăn nêm nếm vừa vặn, cực kì ngon luôn ạ!!! Trang trí siêu xinh, giá cả phải chăng, nhân viên tận tình từ ngoài cổng luôn ạ!!! Nhân viên phục vụ nhiệt tình, còn được tặng rửa ngay tấm ảnh kỉ niệm thiệt đáng iuu và siêu đáng iuuu luôn ạ!!! 10 điểm không có nhưng ạ!!! ❤️"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Tuấn Đặng Thanh,1 sao,3 tháng trước,"Chất lượng món ăn: 1*
Không gian: 2*
Phục vụ: 2* …"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",zi dy,5 sao,một tháng trước,"Đồ ăn ngon , nhân viên nhiệt tình rcm mọi người nên ghé nhoo 🩷 …"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Trúc Lê,5 sao,một tháng trước,"Quán ấm cúng đồ ăn ngon lém, tổ chức sinh nhật hoặc kỉ niệm ở đây cũng riêng tư nữa 🥰 …"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Thanhtruc NL,1 sao,2 tháng trước,Ai đang có ý định tổ chức sinh nhật hay những dịp quan trọng ở đây thì suy nghĩ nha ! ( Tiền mất còn rước bực thêm ) …
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Bacgau Shop,5 sao,4 tháng trước,"nhân viên dễ thương , có chụp ảnh cho khách . phục vụ oke . không gian ở quán đẹp và thoải mái"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Tùng Võ Sơn,5 sao,3 tháng trước,"Đồ ăn ngon, hợp khẩu vị
Không gian sang trọng, lãng mạng
Các bạn nhân viên nhỏ nhẹ, lịch sự."
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Dinh Nhu Nhu,5 sao,2 tháng trước,"Mình đã quay lại nhiều lần và chất lượng không thay đổi, thức ăn ngon và chỉnh chu. Nhân viên nhiệt tình 🥰 …"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Tùng Sơn,5 sao,3 tháng trước,"1 buổi tối kỷ niệm tuyệt vời với vợ chồng tôi.
12 năm rồi tôi mới có 1 bữa ăn lãng mạng như vậy.
Giá cả phải chăng. Đồ ăn ngon hợp vị. Không gian buổi tối cực lãng mạng, thanh …"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Nhien An,5 sao,2 tháng trước,"Đồ ăn rất ngon nhân viên nhiệt tình dễ thương, nhà hàng trang trí rất đẹp và hỗ trợ khách đổi giờ hết mình"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Nhi Nguyễn,5 sao,2 tuần trước,"Quán ấm cúng đồ ăn ngon lắm ạ , tổ chức sinh nhật hoặc kỉ niệm ở đây cũng riêng tư nữa 😍😍 …"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Trung Võ,5 sao,một tháng trước,Quán deco đẹp món ăn hợp khẩu vị ngon nhân viên phục vụ nhiệt tình
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Tuấn Anh Mai,5 sao,một tháng trước,Đồ ăn ok ạ nhân viên nhiệt tình
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Phúc Phan,5 sao,4 tháng trước,Đồ ăn ngon và Decor đẹp. Mn dẫn người yêu hay vợ tới để hẹn hò thì tuyệt vời nha.
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Khánh Quách,5 sao,3 tuần trước,Đồ ăn rất ngon. Không khí tuyệt vời. Mấy chị nhân viên nhiệt tình ạ
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",1009_hn Nhipham,5 sao,5 tháng trước,"Đồ ăn ngon hợp khẩu vị lắm ạ, set up chụp hình lên đẹp dễ thương, yên tĩnh lãng mạn, bạn mình thích lắm, nói chung tuỵt ạ 🫰🏻 10 điểm …"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Vương Thuỳ,5 sao,2 tháng trước,"không gian ở đây rất là xinh luôn nha, rất riêng tư và ấm áp phù hợp để hẹn hò vào những dịp đặc biệt, đáng để trải nghiệm nhé"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Nguyễn Võ Như Huỳnh,5 sao,3 tháng trước,"Phục vụ tốt, không gian đẹp riêng tư, nhiệt tình chu đáo, đồ ăn ngonnnlamws rcm cho mấy bạn mún hẹn hò ở đây nha"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Nguyen My,5 sao,2 tuần trước,"Quán ấm cúng đồ ăn ngon lém, tổ chức sinh nhật hoặc kỉ niệm ở đây cũng riêng tư nữa 🥰 …"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Ngọc Anh Nguyễn,5 sao,một tuần trước,"Đồ ăn ngon, decord đẹp, nhân viên quán nhiệt tình thân thiện"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",thi trúc,5 sao,một tháng trước,"Đi hẹn hò hay sinh nhật ghé Mr.saigon là sự lựa chọn đúng đắn lun í. Đồ ăn hợp khẩu vị, chị nhân viên nhiệt tình chụp ảnh dùm mình siu ưng luôn. Tóm lại nên ghé nha mụi ngừi"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Hải Yến Nguyễn,5 sao,một tháng trước,"Đồ ăn ngon, không gian đẹp, nhân viên nhiệt tình"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Pii Nguyễn,5 sao,một tháng trước,Không gian từng tầng decor khác nhau. Đồ ăn oki. Nhân viên phục vụ chu đáo
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Toàn Nguyễn,5 sao,một tháng trước,"Không gian tuyệt vời , đồ ăn ngon , các bạn nên đến trải nghiệm sẽ thấy thú vị và lãng mạn"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Kiệt Chí,5 sao,3 tháng trước,"Đồ ăn ngon , không gian ấm cúng , nhân viên nhiệt tình thân thiện . Một nơi lý tưởng để hẹn hò"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Lê Thị Thuỳ Thuỷ,5 sao,3 tuần trước,"Đồ ăn ngon, không gian ấm cúng, nhân viên nhiệt tình hỗ trợ còn chụp ảnh in ra khung cho khách nữa."
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Thảo LTP,5 sao,4 tháng trước,"Không gian đẹp, kiểu Âu Mỹ, phù hợp cho hẹn hò, giá cả cũng khá mềm. Quán có bán nhiều set đi kèm hoa và bánh rất xinh."
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Thien Nguyen,5 sao,một tháng trước,"Đồ ăn theo mình cảm thấy khá hợp khẩu vị, không gian đẹp, yên tĩnh phù hợp cho các bạn thích sự riêng tư nhé!!"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Thành Tài Phạm Lê,5 sao,2 tuần trước,"đồ ăn ngon
không gian đẹp thích hợp là nơi hẹn hò"
"Mr.Saigon - Mì Ý, Salad Sài Gòn - Lê Lai",Thanh Bao,5 sao,2 tuần trước,Phục vụ nhiệt tình nhân viên dễ thương trang trí đẹp đã quay lại lần 2 và sẽ quay lại ạ
