place_name,user,rating,time,text
Buffet Gánh Khách Sạn Palace,Hien Dinh Thu (Dinh Thu Hien),2 sao,một năm trước,"Vị trí trung tâm Saigon, đồ ăn được, dịch vụ rất kém, nhân viên phục vụ kiểu thời bao cấp rất chán, bầu không khí ngồi tạm đc."
Buffet Gánh Khách Sạn Palace,cattuong doan,2 sao,một năm trước,"Giá ok. Thức ăn ko đa dạng, nguội lạnh, chưa hết giờ buffet (14h) mà em gái mình lấy bún bò thì bếp kêu “đổ rồi”. Đã gửi góp ý tới quản lý về thái độ thiếu chuyên nghiệp"
Buffet Gánh Khách Sạn Palace,Obasan Go,3 sao,6 năm trước,"So với giá cả thì chất lượng món thua xa Hoàng Yến buffet. Đồ ăn ít, hươbg vị cũng không tinh tế, nhân viên phục vụ bình thường hơi kém chuyên nghiệp. Không gian lại chật hẹp, trang trí thiếu độc đáo và sáng tạo. …"
Buffet Gánh Khách Sạn Palace,tran kieu lai thuy,3 sao,2 năm trước,"Hôm nay 20/11/2023 chúng tôi đi ăn buffet gánh Palace ở tầng 6 khách sạn Palace đường Nguyễn Huệ. Sảnh ngồi thoáng mát, đồ ăn tương đối hấp dẫn với nhiều món ăn Việt Nam như bánh xèo, bánh khọt, bì bía, bì cuốn, các món ốc... Đặt biệt món …"
Buffet Gánh Khách Sạn Palace,Theodore Han,3 sao,5 tháng trước,Đồ ăn ổn. Khá ổn so với một khách sạn.
Buffet Gánh Khách Sạn Palace,Trường Thơm Ngô,3 sao,2 năm trước,"đặt buffet cho 160 phần mà đồ ăn ít, lên món chậm."
Buffet Gánh Khách Sạn Palace,Luke Koning,3 sao,2 tháng trước,"3,5/10"
Buffet Gánh Khách Sạn Palace,pm lai,3 sao,5 tháng trước,"Đồ ăn ở mức trung bình. Tôi đã thử gần như tất cả mọi thứ: mỗi món một miếng. Ngoại trừ bánh crepe Việt Nam, ngon và giòn, các món khác đều ở mức trung bình hoặc hơi nhạt nhẽo. Bánh crepe được làm theo yêu cầu. Các món tráng miệng Việt Nam …"
Buffet Gánh Khách Sạn Palace,Tram TTP,4 sao,8 tháng trước,"Để có một chỗ hẹn hò ăn uống vào trưa Sg nắng nóng thì nhóm tụi mình đã chọn dùng buffet tại KS.
Vào đầu tuần,nhưng lượng khách khá đông. …"
Buffet Gánh Khách Sạn Palace,Anh Tuyet,4 sao,một năm trước,"Không đông như bên Đồng Khởi nhưng chất lượng cũng ok lắm, nhân viên hơi lười giao tiếp, chỗ ngồi rộng rãi thoáng, nên thử."
Buffet Gánh Khách Sạn Palace,Phuc Tung,4 sao,6 năm trước,Sinh nhật của Cha... 15/06/2019
Buffet Gánh Khách Sạn Palace,Thiên Thiên,4 sao,2 tháng trước,"Ngon, sạch đẹp, gần phố đi bộ Nguyễn Huệ."
Buffet Gánh Khách Sạn Palace,Emile Costa,4 sao,3 tháng trước,"Một địa điểm tuyệt vời, nơi bạn có thể thử mọi thứ.

Tiếc là cà phê không miễn phí. 😅 …"
Buffet Gánh Khách Sạn Palace,胡志明上门服务Outcall&Incall,4 sao,một tháng trước,"Nhà hàng buffet của khách sạn Royal Palace nằm ở trung tâm Quận 1, sở hữu không gian ăn uống rộng rãi với tầm nhìn tuyệt đẹp ra phố đi bộ Nguyễn Huệ. Thực đơn đa dạng các món ăn Việt Nam, trong đó các món truyền thống như nem rán và tôm …"
Buffet Gánh Khách Sạn Palace,Hoang Nguyen,5 sao,3 tháng trước,"Mình vừa có dịp ghé Buffet Gánh tại Palace Hotel và thực sự hài lòng. Điểm cộng lớn nhất là không gian nhà hàng rất thoáng, view nhìn thẳng xuống phố đi bộ Nguyễn Huệ cực đẹp, ngồi ngắm cảnh phố xá lúc lên đèn hay ban ngày đều rất chill. …"
Buffet Gánh Khách Sạn Palace,Thach Do,5 sao,6 tháng trước,"Không gian thoáng.
Thức ăn nêm nếm ngon, thức ăn đa dạng, nhiều món đặc trưng của Việt Nam. Đặc biệt món bánh khọt nước cốt dừa và bánh xèo."
Buffet Gánh Khách Sạn Palace,KITTY Shop,5 sao,5 tháng trước,"Không gian thoáng rộng, nhiều món ăn ngon, nhân viên phục vụ nhiệt tình. Sẽ quay lại ủng hộ."
Buffet Gánh Khách Sạn Palace,Hoàng Minh Nguyễn,5 sao,5 tháng trước,"Một địa điểm lý tưởng để dùng bữa trưa, hội họp bạn bè tám đủ chuyện trên đời.

- Vị trị đắt địa ngay trung tâm Nguyễn Huệ …"
Buffet Gánh Khách Sạn Palace,Anna Li•Hathaway,5 sao,2 tháng trước,"Ăn cũng được, nêm nếm vừa miệng, có nhiều món ăn đa dạng phù hợp với mọi người, khá vắng."
Buffet Gánh Khách Sạn Palace,Trâm Bích,5 sao,Thời gian chỉnh sửa: 5 tháng trước,"Không gian ấm cúng, quầy đồ ăn trang trí đẹp và sang trọng, món ăn nấu vị vừa phải, hợp khẩu vị."
Buffet Gánh Khách Sạn Palace,Thịnh Ngọc,5 sao,Thời gian chỉnh sửa: 6 tháng trước,"Món ăn ngon , thích các món bánh 3 miền ở đây rất ngon
Có view nhìn xuống đường"
Buffet Gánh Khách Sạn Palace,Selena Duong,5 sao,một năm trước,"Đồ ăn tươi ngon, hợp khẩu vị, nêm nếm đậm đà.
ngoại trừ món sushi.
Mình thích món bánh khọt, chân giò hầm củ sen, sò vẹo nướng mỡ hành, ốc bưu. …"
