place_name,user,rating,time,text,source_file,clean_text,word_count,food,service,place,price
Đặc sản số 1 chính gốc Bún bò Huế,Nguyen Quang Tam,1.0,3 năm trước,"Bún không ngon, chất lượng không như bảng hiệu",labeled_20260514_191809.csv,bún không ngon chất lượng không như bảng hiệu,9,1,0,0,0
Bún Đậu Mắm Tôm - VUA ĐẬU & BÚN ĐẬU NHÀ VUA - 270 Phan Huy Ích,Changg Myy,1.0,3 tháng trước,"-Quán nhân viên phục vụ tệ, thái độ khi khách gọi đổi chén mắm tôm:))))
- Nắm tôm có 2 con ruồi:)
- Chả cốm có vật gì bên trong
Chi nhánh TỆ nhất mình trải nghiệm",labeled_20260514_191809.csv,quán nhân viên phục vụ tệ thái độ khi khách gọi đổi chén mắm tôm nắm tôm có con ruồi chả cốm có vật gì bên trong chi nhánh tệ nhất mình trải nghiệm,34,1,1,1,0
Jollibee Vincom Phan Văn Trị,Linh Phạm,1.0,4 tháng trước,"chờ lâu mới có món, nhân viên sơ suất trong vc in cho bill khách",labeled_20260514_191809.csv,chờ lâu mới có món nhân viên sơ suất trong vc in cho bill khách,15,0,1,0,0
Bún Đậu Mắm Tôm - VUA ĐẬU & BÚN ĐẬU NHÀ VUA - 270 Phan Huy Ích,Lửa,1.0,3 tháng trước,"Order đậu + bún thêm nhân viên không mang ra.
Mọi khi ăn được tặng bún nay phải Order. Rau RẤT DƠ, bẩn cực kì. Dao cắt chanh không có mài, rất đùi. Quá tệ hại",labeled_20260514_191809.csv,order đậu bún thêm nhân viên không mang ra mọi khi ăn được tặng bún nay phải order rau rất dơ bẩn cực kì dao cắt chanh không có mài rất đùi quá tệ hại,35,1,1,1,0
Jollibee Vincom Phan Văn Trị,Thanh Thư,1.0,4 tuần trước,"nhân viên hơi ngộ, bàn sopha cho 4 người nhưng mà thấy có bàn kế 2 người ngồi được đến lúc mình vừa lại định ngồi thì bảo không được kêu đi chỗ khác? nhân viên nam mình sẽ kh để tên",labeled_20260514_191809.csv,nhân viên hơi ngộ bàn sopha cho người nhưng mà thấy có bàn kế người ngồi được đến lúc mình vừa lại định ngồi thì bảo không được kêu đi chỗ khác nhân viên nam mình sẽ kh để tên,40,0,1,0,0
Bánh Xèo Giòn Restaurant - Bánh Canh Ghẹ,P S,1.0,6 tháng trước,Giá cao hơn mặt bằng trung bình.Bò né mà dk mấy miếng bò cắt nhỏ như bò nhúng dấm.Bỏ cả chả vào.Quá tệ cho trải nghiệm,labeled_20260514_191809.csv,giá cao hơn mặt bằng trung bình bò né mà dk mấy miếng bò cắt nhỏ như bò nhúng dấm bỏ cả chả vào quá tệ cho trải nghiệm,29,1,0,0,1
Bánh Xèo Giòn Restaurant - Bánh Canh Ghẹ,Cuong Nguyen,1.0,8 tháng trước,thịt trong món bún chả có lẽ nhiễm giun sán,labeled_20260514_191809.csv,thịt trong món bún chả có lẽ nhiễm giun sán,10,1,0,0,0
Bánh Canh Cua Hiền,Nguyễn Tuấn Việt,1.0,một tháng trước,"Thái độ phục vụ cực kì tệ. Lúc trước quán này là quán ruột. Nhưng nay biến chất rồi, thái độ như làm bề trên. Không có lần tiếp theo.",labeled_20260514_191809.csv,thái độ phục vụ cực kì tệ lúc trước quán này là quán ruột nhưng nay biến chất rồi thái độ như làm bề trên không có lần tiếp theo,30,0,1,0,0
Bánh Canh Cua Hiền,Mark Nguyen,1.0,một tháng trước,"Nhà mình mua 4 tô tối ăn, cả nhà mình bị đau bụng khó tiêu, tiêu chảy cả 2 ngày trời. Mình cũng thấy lạ bánh canh mà múc sẵn trong bịch để ở đó, mình ko biết đồ ăn có tươi mới ko ạ.",labeled_20260514_191809.csv,nhà mình mua tô tối ăn cả nhà mình bị đau bụng khó tiêu tiêu chảy cả ngày trời mình cũng thấy lạ bánh canh mà múc sẵn trong bịch để ở đó mình ko biết đồ ăn có tươi mới ko ạ,43,1,0,0,0
Bánh Canh Cua Hiền,Hoan Phạm Võ Đình,1.0,một tháng trước,"Nhân viên để thiếu đồ ăn cho khách. Khách hỏi thì kêu là phải kiểm tra và nói từ đầu, khiếu nại sau đó không đền nhé! NV rất lưu manh, thái độ phục vụ 0 điểm.",labeled_20260514_191809.csv,nhân viên để thiếu đồ ăn cho khách khách hỏi thì kêu là phải kiểm tra và nói từ đầu khiếu nại sau đó không đền nhé nv rất lưu manh thái độ phục vụ điểm,36,0,1,0,0
Bánh Canh Cua Hiền,Diễm Phúc Nguyễn Huỳnh,1.0,3 tuần trước,Thái độ nhân viên không tốt,labeled_20260514_191809.csv,thái độ nhân viên không tốt,6,0,1,0,0
Bánh Canh Cua Hiền,Bảo Ngọc Trần,1.0,một năm trước,Kêu khách là con kia,labeled_20260514_191809.csv,kêu khách là con kia,5,0,1,0,0
