rating,text,word_count,food,service,place,cost
5 sao,đồ ăn ngon và các anh chị phục vụ tốt ạ.,11,2,2,0,0
5 sao,"đồ ăn ngon, nhân viên nhiệt tình, hỗ trợ khách hàng tốt, đáng giá 5 sao",16,2,2,0,0
5 sao,"lâu rồi mới được ăn lại, nhân viên thân thiện, vui vẻ, đồ ăn ngon, vệ sinh, không gian thoáng nhé. 1010",22,2,2,2,0
5 sao,"dịch vụ tốt, món ăn ngon 10đ",7,2,2,0,0
5 sao,đồ ăn ngon nhân viên cute đáng yêu dễ thương đẹp trai xinh gái nhẹ nhàng tử tế tốt bụng thân thiện mến yêu đằm thắm nết na dịu dàng ấm áp tuyệt vời,33,2,2,0,0
1 sao,"thịt gà để lạnh không nóng thua cả mua mang về, miếng gà như kiểu bán cho khách khác nhưng bị trả lại và mang ra đưa khách mới. trong khi miếng gà bạn mình ăn thì nóng",38,1,0,0,0
2 sao,"lỡ bỏ qua khi đặt shoppee food nên h lên đây đánh giá -thiếu gói tương ,gà chỉ được phủ sốt 1 nữa miếng ,mì ý thì nguộiko biết cái này do tài xế đi nhiều chỗ hay do quán làm trc laau. dù cách cũng có hơn 1km xíu xíu",51,1,0,0,0
5 sao,đồ ăn ngon nhân viên dui dẻ thân thiện,8,2,2,0,0
1 sao,"nay mình đi gọi combo như hình đưa, nvien thì không biết cứ phải quay ra hỏi quản lí, combo mình có cả kem mà rốt cuộc bấm bill không có luôn, rồi z mua combo chi cũng như phần khác",41,0,1,0,0
3 sao,"hôm mình đi đang có khuyến mãi ăn 2 combo để lấy 2 gối tựa lưng. tuy nhiên 1 phần combo có khẩu phần khá nhỏ, phải bù tiền nâng cấp lên phần lớn hơn. 2 ly nước trong 2 combo là trà đào và milo đều lạt nhách, uống vào chả khác gì nước lã. mì ý ở đây thì khỏi bàn rồi, gà rán cũng ráo dầu, thịt còn mọng nước, kem nhiệt đới cũng khá ngon với nhiều topping đi kèm. nói chung phần ăn thì ổn nhưng nước uống thì chê nhé.",96,3,0,0,1
5 sao,nhân viên nhiệt tình. đồ ăn vẫn ngon như thường lệ,11,2,2,0,0
1 sao,"làm món lâu nhân viên thì đông mà lo nc không đi nhiều chi nhánh, có mỗi chi nhánh này là rề",22,0,1,0,0
5 sao,đồ ăn ra nhanh và các bạn nhân viên rất thân thiện,13,3,2,0,0
1 sao,"nhân viên phục vụ đặt đồ ăn lên trên bàn cho khách với thái độ không tốt, thường thường đi chi nhánh khác ngta khi bưng đồ ra thường chúc ngon miệng trong khi đó bạn đó vừa bưng ra đặt cái dĩa xuống bàn 1 cái uỵch rồi đi .bộ phận phucj vuj cần tranning lại ạ bạn này bạn này là nhân viên đồng phục đỏ không phải áo trắng ,nhân viên áo trắng còn phục vụ tốt hơn mấy bạn áo đỏ nữa",86,0,1,0,0
1 sao,"đông nên phải sắp hàng rất lâu. nhưng khi đến khi đươc order thì lại bị hỏi là có bàn chưa, chưa thì chỉ được mua mang về nếu đi 1 mình thì ai đi kiếm bàn, ai đi order rồi phải đi tìm bàn xong quay lại sắp hàng lại từ đầu. dịch vụ tệ!",56,0,1,0,0
5 sao,"hôm nay có khuyên mãi 99 vnd, ăn cũng khá ngon là thương hiệu lớn thì có lẽ mọi người cũng không bàn cãi nữa. có chô ngồi cho trẻ em, có chỗ gửi xe",33,2,0,2,2
3 sao,"đồ ăn chưa được tốt như các cửa hàng khác. nhưng làm rất nhanh, có giữ ấm dụng cụ ăn uống. vị của khoai và mì ý chỉ mức tạm ổn so với các cửa hàng khác. sốt chấm cũng không giống cửa hàng khác lắm. cửa hàng thay đổi các điểm đó là ổn ròi.",56,1,0,0,0
4 sao,phục vụ nhanh chóng chu đáo và sạch sẽ. đồ ăn khá ngon giá phải chăng và nhiều chương trình khuyến mãi. món mì spagetti ngon đặc trưng. chúc các bạn nhiều niềm vui.,34,2,2,2,2
5 sao,"đồ ăn ngon , nhân viên thân thiện lắm",9,2,2,0,0
1 sao,"đặt dặn kĩ lấy 4 đùi. nhân viên order nói còn đùi. mà đem ra không có đủi, nói là không có dặn. thái độ. gà công nghiệp không tươi",30,1,1,0,0
1 sao,"thái độ nhân viên lòi lỏm với khác hàng. mình mua phần combo mì ý gà, chị nhân viên nói lấy đùi với cánh hả, mình nói ừ xong lúc đưa ra thì lại 2 má đùi, mình hỏi lấy cánh với đùi mà. chị nhân viên bảo là bên em ưu tiên lấy má đùi, 5p sau em thấy bàn đối diện cũng mua phần mì ý giống em, lại có cánh và đùi. ủa em mua em cũng trả tiền mà, làm vậy chi, giống như em bị kinh không có tiền.mong quán rút kinh nghiệm cho lần sau. nên chỉnh đốn lại phục vụ của nhân viên.",110,0,1,0,0
5 sao,"21h30 là đóng cửa. mình đến gần đóng cửa nhưng mấy bạn vẫn tiếp rất niềm nở. không gian nhỏ nhưng bàn tương đối. chỉ là món ra hơi lâu xíu. chỗ ngồi hơi bẩn. đồ ăn thì chỗ nào cũng giống nhau. thích nhất món mỳ ý ở đây. nói chung trong chuỗi nhà hàng thức ăn nhanh thì đây là nơi có giá bình dân nhất. thích hợp cho sinh viên, học sinh phổ thông. ahihi",78,2,2,1,2
5 sao,đồ ăn rất ngon quán khá đông,7,2,0,0,0
5 sao,"đồ ăn ngon, nhân viên nhiệt tình vui vẻ, phục vụ nhanh 10 điểm",14,2,2,0,0
5 sao,"đồ ăn ngon, tôi thấy ăn ở đây có không khí nên ăn ngon",14,2,0,2,0
