place_name,user,rating,time,text,source_file,clean_text,word_count,food,service,place,price
Đặc sản số 1 chính gốc Bún bò Huế,Nguyen Quang Tam,1.0,3 năm trước,"Bún không ngon, chất lượng không như bảng hiệu",google_maps_reviews_20260513_233550.csv,bún không ngon chất lượng không như bảng hiệu,9,1,0,0,0
Bún Đậu Mắm Tôm - VUA ĐẬU & BÚN ĐẬU NHÀ VUA - 270 Phan Huy Ích,Changg Myy,1.0,3 tháng trước,"-Quán nhân viên phục vụ tệ, thái độ khi khách gọi đổi chén mắm tôm:))))
- Nắm tôm có 2 con ruồi:)
- Chả cốm có vật gì bên trong
Chi nhánh TỆ nhất mình trải nghiệm",google_maps_reviews_20260514_020235.csv,quán nhân viên phục vụ tệ thái độ khi khách gọi đổi chén mắm tôm nắm tôm có con ruồi chả cốm có vật gì bên trong chi nhánh tệ nhất mình trải nghiệm,34,1,1,1,0
Jollibee Vincom Phan Văn Trị,Linh Phạm,1.0,4 tháng trước,"chờ lâu mới có món, nhân viên sơ suất trong vc in cho bill khách",google_maps_reviews_20260224_191036.csv,chờ lâu mới có món nhân viên sơ suất trong vc in cho bill khách,15,0,1,0,0
Bún Đậu Mắm Tôm - VUA ĐẬU & BÚN ĐẬU NHÀ VUA - 270 Phan Huy Ích,Lửa,1.0,3 tháng trước,"Order đậu + bún thêm nhân viên không mang ra.
Mọi khi ăn được tặng bún nay phải Order. Rau RẤT DƠ, bẩn cực kì. Dao cắt chanh không có mài, rất đùi. Quá tệ hại",google_maps_reviews_20260514_020235.csv,order đậu bún thêm nhân viên không mang ra mọi khi ăn được tặng bún nay phải order rau rất dơ bẩn cực kì dao cắt chanh không có mài rất đùi quá tệ hại,35,1,1,1,0
Jollibee Vincom Phan Văn Trị,Thanh Thư,1.0,4 tuần trước,"nhân viên hơi ngộ, bàn sopha cho 4 người nhưng mà thấy có bàn kế 2 người ngồi được đến lúc mình vừa lại định ngồi thì bảo không được kêu đi chỗ khác? nhân viên nam mình sẽ kh để tên",google_maps_reviews_20260224_191036.csv,nhân viên hơi ngộ bàn sopha cho người nhưng mà thấy có bàn kế người ngồi được đến lúc mình vừa lại định ngồi thì bảo không được kêu đi chỗ khác nhân viên nam mình sẽ kh để tên,40,0,1,0,0
Bánh Xèo Giòn Restaurant - Bánh Canh Ghẹ,P S,1.0,6 tháng trước,Giá cao hơn mặt bằng trung bình.Bò né mà dk mấy miếng bò cắt nhỏ như bò nhúng dấm.Bỏ cả chả vào.Quá tệ cho trải nghiệm,google_maps_reviews_20260514_020235.csv,giá cao hơn mặt bằng trung bình bò né mà dk mấy miếng bò cắt nhỏ như bò nhúng dấm bỏ cả chả vào quá tệ cho trải nghiệm,29,1,0,0,1
Bánh Xèo Giòn Restaurant - Bánh Canh Ghẹ,Cuong Nguyen,1.0,8 tháng trước,thịt trong món bún chả có lẽ nhiễm giun sán,google_maps_reviews_20260514_020235.csv,thịt trong món bún chả có lẽ nhiễm giun sán,10,1,0,0,0
Bánh Canh Cua Hiền,Nguyễn Tuấn Việt,1.0,một tháng trước,"Thái độ phục vụ cực kì tệ. Lúc trước quán này là quán ruột. Nhưng nay biến chất rồi, thái độ như làm bề trên. Không có lần tiếp theo.",google_maps_reviews_20260514_020235.csv,thái độ phục vụ cực kì tệ lúc trước quán này là quán ruột nhưng nay biến chất rồi thái độ như làm bề trên không có lần tiếp theo,30,0,1,0,0
Bánh Canh Cua Hiền,Mark Nguyen,1.0,một tháng trước,"Nhà mình mua 4 tô tối ăn, cả nhà mình bị đau bụng khó tiêu, tiêu chảy cả 2 ngày trời. Mình cũng thấy lạ bánh canh mà múc sẵn trong bịch để ở đó, mình ko biết đồ ăn có tươi mới ko ạ.",google_maps_reviews_20260514_020235.csv,nhà mình mua tô tối ăn cả nhà mình bị đau bụng khó tiêu tiêu chảy cả ngày trời mình cũng thấy lạ bánh canh mà múc sẵn trong bịch để ở đó mình ko biết đồ ăn có tươi mới ko ạ,43,1,0,0,0
Bánh Canh Cua Hiền,Hoan Phạm Võ Đình,1.0,một tháng trước,"Nhân viên để thiếu đồ ăn cho khách. Khách hỏi thì kêu là phải kiểm tra và nói từ đầu, khiếu nại sau đó không đền nhé! NV rất lưu manh, thái độ phục vụ 0 điểm.",google_maps_reviews_20260514_020235.csv,nhân viên để thiếu đồ ăn cho khách khách hỏi thì kêu là phải kiểm tra và nói từ đầu khiếu nại sau đó không đền nhé nv rất lưu manh thái độ phục vụ điểm,36,0,1,0,0
Bánh Canh Cua Hiền,Diễm Phúc Nguyễn Huỳnh,1.0,3 tuần trước,Thái độ nhân viên không tốt,google_maps_reviews_20260514_020235.csv,thái độ nhân viên không tốt,6,0,1,0,0
Bánh Canh Cua Hiền,Bảo Ngọc Trần,1.0,một năm trước,Kêu khách là con kia,google_maps_reviews_20260514_020235.csv,kêu khách là con kia,5,0,1,0,0
Bún Đậu Mắm Tôm - VUA ĐẬU & BÚN ĐẬU NHÀ VUA - 270 Phan Huy Ích,An Pham,1.0,5 tháng trước,"Rau thì bầm, ống đũa quá dơ. Tóp mỡ bỏ vào mắm cứng như đá.  Bàn ngồi thấp thỏm, chân bàn đứt cả khúc. Nhân viên khá là lơ là. Ghé 1 lần chắc chắn không có lần 2 😩😩 …",google_maps_reviews_20260514_020235.csv,rau thì bầm ống đũa quá dơ tóp mỡ bỏ vào mắm cứng như đá bàn ngồi thấp thỏm chân bàn đứt cả khúc nhân viên khá là lơ là ghé lần chắc chắn không có lần,37,1,1,1,0
Bánh Canh Cua Hiền,Đức Tuấn Nguyễn,1.0,một năm trước,Mua mà giao thiếu món,google_maps_reviews_20260514_020235.csv,mua mà giao thiếu món,5,0,1,0,0
Bánh Canh Cua Hiền,Tuấn Anh Trần,1.0,3 năm trước,"Toàn mấy thằng nghiện ra phục vụ , đi ăn như đi xin tụi nó",google_maps_reviews_20260514_020235.csv,toàn mấy thằng nghiện ra phục vụ đi ăn như đi xin tụi nó,14,0,1,0,0
Bánh Canh Cua Hiền,Linh Huynh,1.0,2 năm trước,"Thái độ nhân viên hách dịch, ăn trả tiền mà nói chuyện với khách như ăn xin
Chê ❌❌❌❌❌",google_maps_reviews_20260514_020235.csv,thái độ nhân viên hách dịch ăn trả tiền mà nói chuyện với khách như ăn xin chê,18,0,1,0,0
Jollibee Vincom Phan Văn Trị,Vin Trần,1.0,3 tháng trước,đặt gà với mì mà chỉ có giao gà ko có mì bắt đợi 30p quá mất thời gian trưa của ngta,google_maps_reviews_20260224_191036.csv,đặt gà với mì mà chỉ có giao gà ko có mì bắt đợi p quá mất thời gian trưa của ngta,22,0,1,0,0
Bánh Canh Cua Hiền,Duy Đăng,1.0,một năm trước,Nhân viên trông xe già cụt tay thái độ với khách,google_maps_reviews_20260514_020235.csv,nhân viên trông xe già cụt tay thái độ với khách,11,0,1,0,0
Bánh Canh Cua Hiền,Tri Le minh,1.0,11 tháng trước,"Banh canh cua Huyen moi an hom qua,toi ve dau bung…cua bi hu😢 …",google_maps_reviews_20260514_020235.csv,banh canh cua huyen moi an hom qua toi ve dau bung cua bi hu,15,1,0,0,0
Bánh Canh Cua Hiền,Phong Quách,1.0,3 năm trước,"Phục vụ thái độ quá trời, một ngày mệt mỏi gặp nhân viên phục vụ thì chắc khó chịu quài. 0đ thái độ phục vụ",google_maps_reviews_20260514_020235.csv,phục vụ thái độ quá trời một ngày mệt mỏi gặp nhân viên phục vụ thì chắc khó chịu quài đ thái độ phục vụ,25,0,1,0,0
