place_name,user,rating,time,text,source_file,clean_text,word_count,food,service,place,price
BROS KOREA 1980s (본점),Nhật Anh Lương,2.0,2 năm trước,"Phục vụ chưa tốt, phục vụ nướng bàn mình takecare ko tốt, đồ ăn lên lâu.",google_maps_reviews_20260514_020235.csv,phục vụ chưa tốt phục vụ nướng bàn mình takecare ko tốt đồ ăn lên lâu,16,0,1,0,0
BROS KOREA 1980s (본점),Nguyen Lam,2.0,một năm trước,"Đặt trước 500k vẫn được tặng bàn riêng cho 8 khách. Ngồi nói chuyện chỉ giới hạn trong 3 tiếng, kể cả buổi chiều ngoài giờ cao điểm. Phí giữ xe 5k cũng được. Kinh nghiệm rất thất vọng.",google_maps_reviews_20260514_020235.csv,đặt trước k vẫn được tặng bàn riêng cho khách ngồi nói chuyện chỉ giới hạn trong tiếng kể cả buổi chiều ngoài giờ cao điểm phí giữ xe k cũng được kinh nghiệm rất thất vọng,37,0,0,0,2
BROS KOREA 1980s (본점),Nghĩa Hữu,2.0,một năm trước,"Lúc đầu nv hỗ trợ nướng nhiệt tình nhưng càng về sau lại bỏ lơ khách, vỉ thì k thay. Nếu mà phong cách service KH như v thì ngay từ đầu đừng support KH nướng thịt nv => rất hụt hẫng.",google_maps_reviews_20260514_020235.csv,lúc đầu nv hỗ trợ nướng nhiệt tình nhưng càng về sau lại bỏ lơ khách vỉ thì k thay nếu mà phong cách service kh như v thì ngay từ đầu đừng support kh nướng thịt nv rất hụt hẫng,41,0,1,0,0
BROS KOREA 1980s (본점),Lob Dinh,2.0,2 năm trước,"Thật sự thất vọng.

Thời gian chờ đợi vào quán khoảng hơn 1 tiếng nếu như không đặt bàn trước, nên …",google_maps_reviews_20260514_020235.csv,thật sự thất vọng thời gian chờ đợi vào quán khoảng hơn tiếng nếu như không đặt bàn trước nên,20,0,1,0,0
BROS KOREA 1980s (본점),Quyên Kim,2.0,một năm trước,"Mình biết đến quán qua review nhưng thật sự tệ
- ĐỒ ĂN: tạm được  giá cả như vậy có vẻ cao nhưng ngon không sao.
Phục vụ: nhân viên rất bỏ bê khách, ngày mình đi quán chỉ có 3-4 bàn nhưng thái …",google_maps_reviews_20260514_020235.csv,mình biết đến quán qua review nhưng thật sự tệ đồ ăn tạm được giá cả như vậy có vẻ cao nhưng ngon không sao phục vụ nhân viên rất bỏ bê khách ngày mình đi quán chỉ có bàn nhưng thái,42,3,1,0,3
BROS KOREA 1980s (본점),thanhha nguyen,2.0,6 tháng trước,"Nhân viên phục vụ tốt, tận tình, nhưng món ăn bình thường.",google_maps_reviews_20260514_020235.csv,nhân viên phục vụ tốt tận tình nhưng món ăn bình thường,12,3,2,0,0
BROS KOREA 1980s (본점),Da Bowl,2.0,một năm trước,"Món ăn ổn nhưng thời gian lên món quá lâu, nhóm mình phải tốn thêm thời gian ngồi đợi nhưng quán lại giới hạn về thời gian?! Đang dùng bữa thì bạn nv yêu cầu nhóm mình ngưng, ko tôn trọng khách hàng quá phải ko ạ?",google_maps_reviews_20260514_020235.csv,món ăn ổn nhưng thời gian lên món quá lâu nhóm mình phải tốn thêm thời gian ngồi đợi nhưng quán lại giới hạn về thời gian đang dùng bữa thì bạn nv yêu cầu nhóm mình ngưng ko tôn trọng khách hàng quá phải ko ạ,47,2,1,0,0
BROS KOREA 1980s (본점),Lâm Văn Ngoan,2.0,8 tháng trước,"Mình đã đi ăn quán theo lời review của chị đồng nghiệp
Nhưng thật sự khá thất vọng về trải nghiệm của mình.
1. Không gian quán: Khá rộng nhưng chỗ luôn trong tình trạng full kín nên khá …",google_maps_reviews_20260514_020235.csv,mình đã đi ăn quán theo lời review của chị đồng nghiệp nhưng thật sự khá thất vọng về trải nghiệm của mình không gian quán khá rộng nhưng chỗ luôn trong tình trạng full kín nên khá,38,0,0,3,0
BROS KOREA 1980s (본점),K Long,2.0,9 tháng trước,"khách đợi, có bàn ko chịu tranh thủ dọn để tiếp khách, bàn trống cũng không cho khách đang đợi vào ngồi trước!",google_maps_reviews_20260514_020235.csv,khách đợi có bàn ko chịu tranh thủ dọn để tiếp khách bàn trống cũng không cho khách đang đợi vào ngồi trước,23,0,1,0,0
BROS KOREA 1980s (본점),alice Phuong,2.0,10 tháng trước,"MẮC, ĐÔNG ĐÚC, CHẬT CHỘT VÀ GIỚI HẠN THỜI GIAN

Quán chật, người đông, đi 9 người cảm giác như sắp lọt khỏi cái bàn. …",google_maps_reviews_20260514_020235.csv,mắc đông đúc chật chột và giới hạn thời gian quán chật người đông đi người cảm giác như sắp lọt khỏi cái bàn,24,0,0,1,1
BROS KOREA 1980s (본점),Nguyễn Trang,2.0,5 tháng trước,"đồ ăn tạm, không ngon như review",google_maps_reviews_20260514_020235.csv,đồ ăn tạm không ngon như review,7,1,0,0,0
BROS KOREA 1980s (본점),Gia Bảo,2.0,4 tháng trước,"Quán yêu cầu tất cả khách review trước mặt nhân viên để chụp lại, đây là hình thức không trung thực trong kinh doanh. Chứ chẳng phải do quán ngon để có nhiều lượt đánh giá cao như vậy. …",google_maps_reviews_20260514_020235.csv,quán yêu cầu tất cả khách review trước mặt nhân viên để chụp lại đây là hình thức không trung thực trong kinh doanh chứ chẳng phải do quán ngon để có nhiều lượt đánh giá cao như vậy,39,0,0,0,0
BROS KOREA 1980s (본점),Minh Bằng Đặng,2.0,một năm trước,"Khen:
Ví trí quán dễ tìm.
Không gian đậm chất Hàn, tất cả nhân viên chào khi khách bước vào quán. …",google_maps_reviews_20260514_020235.csv,khen ví trí quán dễ tìm không gian đậm chất hàn tất cả nhân viên chào khi khách bước vào quán,21,0,2,2,0
BROS KOREA 1980s (본점),Jena,2.0,3 tháng trước,"chất lượng dịch vụ tệ khách đặt bàn ko gọi hỏi khách có đến hay không mà lại tự huỷ trong 10p
Nhân viên nữ trực quầy lúc 19:20 5/2/2026 …",google_maps_reviews_20260514_020235.csv,chất lượng dịch vụ tệ khách đặt bàn ko gọi hỏi khách có đến hay không mà lại tự huỷ trong p nhân viên nữ trực quầy lúc,28,0,1,0,0
Back’s Burger,hong killdong (anh trai),2.0,3 năm trước,"Tôi không thể nói là nó ngon hơn Burger King, nhưng giá thì rất đắt.",google_maps_reviews_20260514_132752.csv,tôi không thể nói là nó ngon hơn burger king nhưng giá thì rất đắt,15,3,0,0,1
Korea Jjambbong Gò Vấp,my vu,2.0,3 tháng trước,"Đồ ăn không tương xứng với giá cả. Đồ ăn không có gì đặc sắc mà giá cả thì mắc. Phục vụ cũng không nhiệt tình. Được mỗi bác bảo vệ.
Không quay lại lần sau.",google_maps_reviews_20260224_191036.csv,đồ ăn không tương xứng với giá cả đồ ăn không có gì đặc sắc mà giá cả thì mắc phục vụ cũng không nhiệt tình được mỗi bác bảo vệ không quay lại lần sau,36,1,1,0,1
Bún Riêu Nhà,Xuân Nguyên 1,2.0,2 tháng trước,"Giá tô thường là 68k, mà ko thấy riêu đâu luôn",google_maps_reviews_20260514_020235.csv,giá tô thường là k mà ko thấy riêu đâu luôn,11,1,0,0,1
Bún Riêu Nhà,Anh Ng,2.0,3 năm trước,"Mình đánh giá 2 sao vì chú trông xe dễ thương thân thiện còn đâu thì:
- Đồ ăn hết sức bình thường, bát bún riêu gần như không có hương vị riêu, ăn rất nhạt nhòa dù giá không hề rẻ. …",google_maps_reviews_20260514_020235.csv,mình đánh giá sao vì chú trông xe dễ thương thân thiện còn đâu thì đồ ăn hết sức bình thường bát bún riêu gần như không có hương vị riêu ăn rất nhạt nhòa dù giá không hề rẻ,40,1,2,0,1
Bánh bèo Bà Xê,Hai Huynh,2.0,7 năm trước,Bánh ko còn ngon như trước bánh bèo nhão các loại bánh bị bớt gia vị nói chung về hình thức ko bắt mắt và ko ngon bà xê nếu còn nấu như thế sẻ mất khách,google_maps_reviews_20260514_020235.csv,bánh ko còn ngon như trước bánh bèo nhão các loại bánh bị bớt gia vị nói chung về hình thức ko bắt mắt và ko ngon bà xê nếu còn nấu như thế sẻ mất khách,37,1,0,0,0
