rating,text,word_count,food,service,place,cost
4 sao,"món ăn ngon nhưng phải chờ quá lâu, và ngộ đời nhất là đã ra món chậm rồi, mang ra 1 dĩa, người kia ăn xong lâu rồi mới có dĩa còn lại. giá ổn nên thấy nhiều bạn trẻ vô và mang cả hoa và quà, mặc đồ rất đẹp. không gian nhỏ xinh, dễ thương. biết là quán đông, ngon, giá tốt nhưng để chờ cả 40-45 phút để ra 1 món ăn và 2 đĩa chênh lệch là không đáng. nên mua grab về nhà ăn cho khoẻ.",91,2,1,2,2
5 sao,bữa ăn ngon dịch vụ tốt các bạn nhân viên nhiệt tình nên rất hài lòng với bữa ăn này,20,2,2,0,0
5 sao,"không gian ấm cúng sang trọng , đồ ăn ngon , nhân viên nhiệt tình chu đáo . giá cả hợp lí",22,2,2,2,2
5 sao,"đồ ăn ngon đó nhé, giá cả quá ư là hợp lý luôn",13,2,0,0,2
5 sao,"đồ ăn ngon, phục vụ nhiệt tình, thân thiện, không gian rất thoải mái và riêng tư, cuối buổi còn được tặng quà ảnh kỷ niệm. sẽ ghé lại vào tương lai.",32,2,2,2,0
5 sao,quán có không gian rộng rãi thoải mái đồ ăn ngon và vừa miệng lần sau sẽ quay lại nữa ạ,21,2,0,2,0
5 sao,"đồ ăn ngon, nhân viên phục vụ nhiệt tình, sẽ quay lại.",12,2,2,0,0
5 sao,"đồ ăn nêm nếm vừa vặn, cực kì ngon luôn ạ! trang trí siêu xinh, giá cả phải chăng, nhân viên tận tình từ ngoài cổng luôn ạ! nhân viên phục vụ nhiệt tình, còn được tặng rửa ngay tấm ảnh kỉ niệm thiệt đáng yêu và siêu đáng yêu luôn ạ! 10 điểm không có nhưng ạ!",58,2,2,2,2
1 sao,"chất lượng món ăn: 1 không gian: 2 phục vụ: 2 giá cả: 4 chất lượng món ăn tệ, thực sự mình chưa từng ăn món steak chỗ nào tệ như nhà hàng này. thịt bò vừa ít, vừa dai kinh khủng khiếp . giá cao tương đương quận 1 như love steak nhưng chất lượng cực tệ, view tệ, không gian nhỏ hẹp và cũ kỹ. nhà hàng thu thuế, service fee, nhưng không thấy bất kỳ service gi? sẽ không ghé lại, cũng như không recommend bạn bè.",90,1,1,1,1
5 sao,"đồ ăn ngon , nhân viên nhiệt tình recommend mọi người nên ghé nhoo",14,2,2,0,0
