text,food,service,place,price
"Xôi cua! Thật sự là một phần nhỏ nhưng rất ngon.
1. Giá cua trên thị trường khoảng 350.000 VND/kg. Cần lưu ý rằng giá cao nhất chỉ khoảng 700.000 VND!
2. Chúng tôi bị tính 1.200 VNĐ cho một con cua chỉ khoảng 300 gram. Thật là nực cười!",2,0,0,1
Tệ nhân viên thái độ đồ ăn bình thường,3,1,0,0
"Nhân viên bất lịch sự
Chén mẻ
Đồ ăn ko ngon",1,1,1,0
"Phục vụ chậm, lơ là. Thái độ nhân viên khó chịu.",0,1,0,0
"Quán ăn ngon, rộng rãi thoáng mát.",2,0,2,0
"Nv quán quá kinh khủng, không có lần sau",0,1,0,0
"Phải gọi là quán ăn chứ ko phải nhà hàng,",0,0,3,0
Dịch vụ kém khiến trải nghiệm ăn uống tệ !,0,1,0,0
"Nhân viên lườm khách, cãi lại khách, thái độ không chấp nhận được!",0,1,0,0
"Thái độ nhân viên ko tốt, trả lời khách bất lịch sự",0,1,0,0
Tự xem lại nhân viên của mình,0,1,0,0
"Nhân viên khá tệ , ngoài ra ok",0,1,0,0
Không ăn thì quá bẩn. Nơi này có mùi kinh khủng. Đầy ắp tôi say xỉn. Bàn dính đầy thức ăn. Bát đĩa bẩn trong một cái xô giữa sàn.,0,0,1,0
Có số điện thoại công khai nhưng gọi đặt bàn không bao giờ nghe máy,0,1,0,0
"Nước trà chanh bị thiu, cả đoàn bị đau bụng,
Nhà hàng chối bỏ trách nhiệm",1,1,0,0
Nhà hàng trong khu du lịch mà phục vụ 21h nghỉ thì chịu,0,1,0,0
Thái độ nhân viên không tôn trọng khách,0,1,0,0
"Nhân viên thiếu ý thức, phục vụ kém, thái độ không phù hợp",0,1,0,0
"Thái độ phục vụ quá tệ, bực mình bỏ về không ăn nên không đánh giá về đồ ăn.",0,1,0,0
"Không đặt trước nhà hàng bảo không có món, phục vụ yếu kém",0,1,0,0
"Phục vụ chậm, không có món mà nói có làm đợi nửa tiếng. Xong ra nói 1 câu hết rồi. Bực mình",0,1,0,0
Đồ ăn ko còn ngon như trước. Mắc nữa,1,0,0,1
Nhân viên rất là thái độ đồ ăn siêu đắt trải nghiệm rất kém sẽ không bao giờ quay lại,0,1,0,1
Đồ ăn tệ hại. Nhân viên chậm chạp và kém cỏi. Không khí không thân thiện. Một trong những nơi tệ nhất.,1,1,1,0
"Cách phụ vụ không dc tốt , cải vời khách hàng",0,1,0,0
Rời khỏi nhà hàng vì phải đợi 30 phút mới có đồ ăn... Quá đông đúc và ồn ào. Không phù hợp với những ai thích dịch vụ khách hàng tốt và bữa trưa nhanh.,0,1,1,0
"Chỗ đậu xe thì không đủ chỗ, đồ ăn dỡ, đối xử với tài xế quá tệ, uổng tiền khi đến đây",1,1,1,1
Chủ yếu là khách muốn đổi phương thức thanh toán cũng không làm được. Nên linh hoạt hơn.,0,1,0,0
"chờ đồ ăn quá lâu, 1 tiếng đồng hồ mới lên được món cho 5 người. Nhân viên không responsive",0,1,0,0
Nhân viên mất dạy. Khách mua về ko mang ra cho khách để khách đứng đợi xong vô hỏi thì kêu vô tự lấy,0,1,0,0
Nhân viên nói bill trên 300k mới được rút thăm trúng thưởng. Lên đồ ăn rất lâu,0,1,0,0
"Nhân viên phục vụ hoàn toàn không làm việc. Họ mải nhìn điện thoại và không chú ý đến khách hàng. Món ăn thì ngon, điều đó càng khiến tôi thất vọng hơn...",2,1,0,0
"Vào ngày 26 tháng 7 năm 2025, tôi đến đây chỉ để ăn, nhưng người bảo vệ đứng trước cửa nói với tôi rằng nhà hàng này đã đóng cửa. Đừng cố tình đến đây. Nhà hàng không còn hoạt động nữa.",0,0,0,0
"Không khuyến khích khách châu Âu.
Dịch vụ khó khăn và đầy thử thách; nhân viên không nói được một từ tiếng Anh nào, ngay cả khi dùng Google Dịch, họ cũng không thể hiểu được. …",0,1,0,0
Thái độ phục vụ của nhân viên kém,0,1,0,0
"Mình là khách du lịch đến Quy Nhơn có ghé quán
1. Mình có ghé quầy thu ngân gọi order thì được 4 bạn đang ở đó kêu ra bàn, nhưng đợi nhân viên ra order khá lâu, 10-15 phút quá 😭😭 …",0,1,0,0
"Tệ quá, đừng vô ăn",0,0,0,0
Chất lượng phục vụ kém,0,1,0,0
"Thức ăn tệ, dịch vụ kém, tránh bằng mọi giá",1,1,0,0
nhân viên thái độ với khách,0,1,0,0
Quản lý trưa 30/4 quá dốt,0,1,0,0
Thái độ nhân viên rất tệ,0,1,0,0
Gọi món không có món j hết,0,1,0,0
"Thức ăn nấu không ngon, có quá nhiều dầu. Không thể giới thiệu.",1,0,0,0
"Điện thoại gọi không được, có cách nào liên hệ được không",0,1,0,0
Cơm nhà mà ăn chán,1,0,0,0
"Đồ ăn ngon, thái độ phục vụ tốt nhưng cơm bữa chín bữa sống @@",3,2,0,0
