rating,text,word_count,food,service,place,cost
4 sao,"đồ ăn cũng ngon mà giá hơi chát, phải đặt bàn nếu đi đông, ai nhậu lai rai mà kím chỗ ăn có xuất thuế thì quất nhé",28,2,0,0,1
5 sao,món ăn ngon và nhân viên nhiệt tình will be back,12,2,2,0,0
5 sao,"đồ ăn ngon, lên món nhanh, phục vụ nhiệt tình dễ thương nhé. sẽ quay lại ủng hộ quán",19,2,2,0,0
1 sao,"phục vụ thật sự quá tệ. gia đình đi vào thứ 2 1711, gọi phục vụ thiếu điều muốn hét lên không ai nghe. đồ ăn thì không còn ngon như trước. những thất vọng nhất vẫn là dịch vụ quá",41,1,1,0,0
5 sao,"nhân viên nhiệt tình, đáng yêu mrk tốt - biết các chăm không tôi tổ chức con tôi sinh nhật ở đây và thấy hài lòng. đồ ăn ngon - đồ ăn ngon khen bia hơi nhạt chê, chỉnh lại về vị bia chê về toilet nam hơi cũ, thơm và mát hơn gọn gàng hơn sẽ ổn có chỗ chơi cho trẻ em, khuôn viên rộng bọn trẻ khoái views chill mát mẻ , ngắm máy bay và xe từ trên cao có thể làm tốt hơn nữa cho gò vấp có chỗ chill nhé sẽ quay lại",99,3,2,3,0
5 sao,hôm nay có bữa nhậu cùng view quá đẹp cả nhà ơi thật xứng đáng để đến quán trải nghiệm,20,0,0,2,0
5 sao,đồ ăn ngon nhân viên nhiệt tình phục vụ dễ thương,11,2,2,0,0
1 sao,"cảm nhận chân thật: thật sự quá tệ. mình có dịp ghé ba gác quang trung để trải nghiệm nhưng thật sự phải nói là tệ vì những lí do sau : - mình tới tầm 9h nhân viên không set up bàn mà cho đợi tới tận 10p mặc dù còn rất nhiều bàn trống - mới 9h hỏi bia tiger bạc thì báo hết, hỏi ken cũng báo hết, mình không biết đây có thật sự là quán không nữa mặc dù mơid 9h - mình có kêu 1 món đậu hủ mỡ hành, 1 tiếng sau tức 10h thì mình có hỏi lại thì bạn nhân viên báo là món đó hết rồi !? nếu mình không hỏi lại chắc sẽ im luôn và tính tiền vào bill hay sao !? - mặc dù mình đã kiểm tra qua website 2h đóng cửa và hỏi với tổng đài trước để biết khi nào đóng bếp bạn tổng đài nói mình 12h đêm và có thể trễ hơn nếu khách đông nhưng tầm 10h30 là nhân viên nữ áo đen kêu mình rằng là bếp sẽ đóng cửa tầm 5p nữa !? và quán sẽ đóng cửa vào 12h đêm !? vậy ai là người nói dối khách hàng !? - thái độ 1 bạn nhân viên áo cam thân hình hơi to con hình như có đeo bông tai bên trái thật sự tệ, bạn mình có hỏi xin chén tương ớt thì bạn đó quay qua và nói hết rồi xong rồi quay mặt bỏ đi không nói gì thêm mặc cho tụi mình ngơ ngác thật sự quán để hết cả bia để hết cả đồ ăn và cả tương ớt cũng không có sao !? - điều tốt mình thấy duy nhất là món ăn ổn, ổn, thời gian lên món không nhanh nhưng ổn. nhưng thật sự do nhân viên thái độ tào lao quá nên cũng không thể nào cảm thấy ngon được tóm lại: không bao giờ quay lại. thân ái và tạm biệt!",344,3,1,0,0
5 sao,"đồ ăn có món ngon món chế biến chưa tới, nhân viên nhanh nhẹn thái độ tốt, view đẹp nhìn xuống ngã 5 và cầu, giá cả dao động 150 200 vnd món",32,3,2,2,3
5 sao,"đồ ăn ngon, không gian rộng rãi, bạn dũng nhân viên tận tình chu đáo",15,2,2,2,0
5 sao,"quán có vị trí thoáng mát và tầm nhìn rất đẹp, có thể vừa ngắm máy bay vừa ăn cùng gia đình, bạn bè. món ăn ngon và đậm đà, thực đơn vừa đủ để chọn lựa chứ không quá nhiều. thích hợp ăn cùng gia đình hoặc bạn bè.",50,2,0,2,0
5 sao,"- nhà hàng nằm tại vị trí đăc địa, ngay giao lộ - trục đường chính, huyết mạch - nối quận 12 và quận gò vấp. nhìn từ trên cao, các bàn cạnh lan can sẽ quan sát trọn vẹn đường phố đông đúc. - nhà hàng sử dụng tông màu đèn chủ đạo là vàng, giữa không gian rộng lớn nhưng đầy ấm cúng. - quản lý nhiều kinh nghiệm, sẵn sàng hỗ trợ, giải quyết các vấn đề, nhu cầu của khách hàng một cách nhanh chóng và đầy đủ nhất. nhân viên ngoan, lịch thiệp, sẵn sàng hỗ trợ khách hàng khi cần thiết. - nhà hàng có ưu thế về các món nhậu, không quá đa dạng về các món ăn, nhưng mỗi món ăn bày biện lên bàn cho khách hàng thưởng thức đều rất chất lượng. - nhà hàng có sân chơi, khu vui chơi rộng dành cho thiếu nhi đa dạng các độ tuổi. - đa dạng các loại hình thanh toán, đầy tiện lợi tiền mặt, pos, chuyển khoản ngân hàng. rất đáng để trải nghiệm vào đầu giờ tối, ngày cuối tuần, sau một ngày làm hiệc mệt mỏi.",198,2,2,2,0
5 sao,đồ ăn rất ngon có điều phải chờ món hoi lâu phục vụ dễ thương . nhưng bù lại hay được tặng thêm đồ,24,2,3,0,0
5 sao,"mình book tiệc sinh nhật cho con gái ở ba gác hôm 2311 vừa rồi, gần 30 khách thôi nhưng các bạn take care từng tí một, từ lúc tới tham khảo quán, trải nghiệm món ăn, tư vấn menu, đặt bàn, đổi vị trí theo yêu cầu của mình vì sợ mưa nên tìm chổ có mái che, 100 điểm cho quán nhé. đặt biệt là bạn quản lý siêu cute và bé nhân viên hỗ trợ mình hôm tiệc mà mình chưa kịp biết tên em. gia đình mình sẽ quay lại để gặp các bạn và thưởng thức bữa ăn.",102,2,2,0,0
5 sao,quán ăn ngon. có khu vui chơi trẻ em. đáng để thử nhé.,13,2,0,2,0
5 sao,"món ăn ngon, hợp vị của gia đình, có khu vui chơi cho trẻ em nữa, rất hợp để tụ hợp gia đình hay tiệc tùng luôn nhé. recomment mọi người đến quán nhé.",34,2,0,2,0
5 sao,"đi thang máy tầng 2 là đến , phải quét mã để xem món trên app . mình cảm nhận đồ ăn ở đây ngon, gọi món nào cũng ổn áp hết nhé . đặc biệt gỏi xoài cá trê và gà nướng mình rất thích ,gà mềm nước sốt chấm kèm thì đậm đà . nên đặt bàn và đi buổi chiều tầm 5h30 là view hoàng hôn siêu đẹp luôn nhé , mấy bạn nhỏ nhà mình tha hồ ngắm máy bay , thời tiết sg nóng chọn quán không gian như này thì tuyệt vời nà nói chung tất cả đều ổn đối với mình và mình sẽ quay lại vào dịp gần nhất cùng gia đình và bạn bè",123,2,0,2,0
5 sao,"món ăn ngon, phục vuu nhiệt tình",7,2,2,0,0
5 sao,so good món nào cũng ngon giá cả phù hợp view quá đẹp thoáng mát rất đáng để trải nghiệm nhé mọi người,24,2,0,2,2
1 sao,"ưu điểm: không gian rộng rãi thoáng mát nhược điểm: - đồ ăn không tốt so với giá tiền - lên món rất lâu - nhân viên phục vụ không tốtlàm đổ đồ ăn lên người mình - thái độ phục vụ cũng không tốt còn nói dối khi tính tiền đã lên thiếu món nhưng bảo do nhóm mình bảo chưa lên nên đã không đem lên. khi nhóm mình tính tiền thì món không lên những vẫn tính trong bill, nhân viên còn bảo đã có sẵn rồi nhưng khi mình bảo gói về thì mới ra nói lại là chưa có và phải trừ tiền ra trải nghiệm không hề tốt từ món ăn tới phục vụmình không bik những chi nhánh khác như thế nào nhưng có thể sẽ không bao giờ quay lại ba gác",139,1,1,2,1
5 sao,"lần đầu trải nghiệm ở đây mình đặt tổ chức tiệc sinh nhật bé, không gian thoải mái có chỗ vui chơi cho bé các bạn, đồ ăn ngon miệng, các bạn phục vụ nhiệt tình chu đáo. 10 điểm nhé ạ",44,2,2,2,0
1 sao,"dặn 2-3 lần trang trí bàn sinh nhật khi book bàn trc đó 2-3 ngày. đến nơi không có và giải thích 1 câu đông quá nhân viên quên, trong khi không hề đông. tới nơi hỏi vụ tặng bia nhân ngày sinh nhật thì tl là người có ngày sinh nhật trong tháng phải tự đăng ký mới được tặng. tệ.",60,0,1,0,0
5 sao,"đồ ăn gia vi ổn, nhan viên rất nhiệt tình nhưng ít món , không khí náo nhiệt trong quán nên có để tạo không khí",26,3,2,2,0
5 sao,"món rất ngon, bạn nhân viên phát dễ thương, nhiệt tình",11,2,2,0,0
4 sao,"đồ ăn cũng được, không gian thoáng đãng, không bị ám mùi khói lắm, nhưng bảng hơi khuất, khó thấy, nằm trong toà nhà của văn lang book, nên ghi chú lại, gọi tháp bia ổn nhé",37,3,0,2,0
2 sao,"tiêu điều, xơ xác, là từ dành cho nơi này. quán vắng, đồ ăn không ngon, ít phục vụ nên chậm chạp. quan trọng nhất là cơ sở vật chất nơi đây xuống cấp cực kỳ tệ hại: các trụ đèn trang trí mục nát không ai thay, bàn ăn thì thấm nước mưa rỉ sét, trông bẩn kinh khủng mà vẫn đem ra phục vụ. đèn đóm thì mù mờ. nói chung ba gác bây giờ đã xuống cấp cực kỳ tệ, nhếch nhác và bẩn thỉu không còn như xưa.",92,1,1,1,0
3 sao,"đồ ăn ổn ngon, hôm mình đi thì 8 người được tặng thêm 1 khây đồ ăn nữa. giá thì cũng hơi cao nhưng bù lại phục vụ và đồ ăn ổn. chỉ có điều mình xui ngồi ngay bàn gần loa phát nhạc. hôm đó quán mở list nhạc gì á nghe đúng to mà loa cũ nghe nhứt cả đầu. mình có hỏi nhỏ nhạc được không nhưng không được. bàn mình ngồi gần cả tiếng đồng hồ ồn tới nổi tai của mình về ù ù cả mấy ngày. quán có thể mở nhỏ hoặc đổi loa đi có thể lần cuối đi lại",107,2,2,1,1
5 sao,"ba gác nằm ngay góc ngã tư của nguyễn oanh giao với quang trung gò vấp. view rooftop sân thượng bao chill cảnh từ trên cao nhìn xuống cầu vượt nguyễn oanh bao lung linh. về không gian quán: có không gian ngồi ngoài trời mát, thoáng đãng,cùng với thiết kế hiện đại và những cột đèn cao. nhìn mê ly cực, xứng đáng là nơi tụ tập cùng bạn bè xả tress sau giờ làm việc căng thẳng. về món ăn: nhóm mình order khoai tây chiên, combo đồ nướng, bò beefsteak, cá và gà ăn cũng khá bắt miệng. thịt bò beefsteak ở đây thịt mềm, vừa chín tới. recommend mọi người nên thử. nước uống: do đi xả stress nên chúng mình gọi tháp bia. team mình đi 7 người gọi 4 tháp. bia ở đây là bia tươi nên uống rất ngon, không đắng, tuy nhiên nồng độ cồn khá cao nhé. tổng bill team mình ăn uống no say và nhậu tới bến thì cỡ 5tr9 tổng cộng. giá thành hơi cao tí 1 tháp bia cỡ 500 vnd nên bù lại được phục vụ khá chu đáo, chất lượng. nhân viên phục vụ khách hàng cực kỳ chu đáo nhé.",205,2,2,2,1
5 sao,món ăn ổn. không gian ổn. phục vụ ổn. nói chung là tốt đó,16,3,3,3,0
5 sao,"mình đặt tiệc ở đây rồi. dịch vụ rất ổn nhé, mấy bạn nhân viên siêu dễ thương nhiệt tình, món ăn rất ngon luôn. trang trí siêu ưng luôn nhé. cho quán 10, nhân viên 100 nhé.",38,2,2,0,0
4 sao,"quán nằm trên tằng thượng của siêu thị văn lang, đầu đường ngã 5 chuồng chó . các món rất ngon, nhưng mỗi món làm khá ít, và giá mỗi món cũng tương đối cao, thuộc phân phúc cận cao cấp . chất lượng món ăn, không gian quán, vấn đề phục vụ phù hợp với giá tiền. cảm thấy ổn và hài lòng.",64,2,2,2,1
1 sao,"lần đầu tiên đi không nghĩ tệ như vậy, đồ an không ngon quá mắc, bill kê khống lên lúc nói thì cũng không giải quyết . ai mà nhậu o đay thì cẩn thận , họ kê khống bill len minh không de y la tính tien nhieu lam đó, nhan vien phuc vụ quá tệ",57,1,1,0,1
5 sao,"rất ngon, nhân viên nhiể tình, rộng rãi",8,2,2,2,0
5 sao,"bộ phận mình tổ chức tiệc tại đây. không gian thoáng đãng, dễ chịu, với vị trí không khó tìm. đồ ăn ngon, hợp khẩu vị và được tặng beer nữa. dịch vụ tốt vì các bạn nhân viên nhanh nhẹ và nhiệt tình.",44,2,2,2,0
5 sao,"món ăn ngon, không gian thoáng mát",7,2,0,2,0
5 sao,"thức ăn ngon, không gian đẹp, đặc biệt bạn phục vụ tên thiên rất nhiệt tình và thân thiện.",19,2,2,2,0
5 sao,món ăn ngon phục vụ nhiệt tình,7,2,2,0,0
5 sao,"món ăn ngon lắm nhé, món tôm gì mà mấy bạn đốt lửa á, ngon lắm. mấy bạn cũng thân thiện vui vẻ nữa, view đẹp với mát lắm nhé.",31,2,2,2,0
4 sao,"nhà hàng nằm trên sân thượng, mát mẻ, thoáng đãng, thấy không có mái che, không biết mưa sẽ thế nào. có thang máy lên lầu khu vực nhà hàng rộng rãi, có thể đãi tiệc hay tổ chức họp mặt được, có khu vui chơi cho trẻ em, phù hợp cho gia đình có con nhỏ. đồ ăn cũng như mấy nhà hàng ba gác khác, giá cả phải chăng, món lấu cá quá ít cá. có menu chay cho người ăn chay. món gỏi có 1 loại gỏi củ hủ dừa chay, mà củ hủ dừa hôm mình ăn khá già, dai không nuốt nổi. gia vị nêm nếm cũng khá ổn. ngồi ở đây thỉnh thoảng thấy máy bay hạ cánh xuống cũng vui. nhân viên thân thiện, nhiệt tình, dễ thương.",136,1,2,2,2
5 sao,"giờ mới rảnh đánh giá, nhóm mình đi năm 2023, đồ ăn ở đây khá ngon, hợp khẩu vị nhưng hơi ít nếu đi đông phải đặt nhiều phần, dịch vụ tốt, nhân viên vui vẻ, dễ thương, khung cảnh khá chill chứ không quá ồn ào như các quán khác. nhưng giá cả thì khá là cao, lâu lâu họp mặt bạn bè hoặc sinh nhật thì được. gửi xe dưới tầng hầm của toà nhà xong đi thang máy lên tầng thượng.",84,2,2,2,1
5 sao,"món ăn ngon, phần đồ ăn và bia trong ảnh tổng hết 1tr8. đi tầm chiều ngắm hoàng hôn rất đẹp. không gian rất là ổn luôn, thoải mái, rộng rãi, mát mẻ.",33,2,0,2,0
5 sao,quán ngon nhạc hay phù hợp team building.,8,2,0,0,0
2 sao,"hình như quán thiếu nhân viên, mấy bạn không để ý bàn. đồ ăn tạm , không khí mát mẻ ổn, hơi thiếu đèn",23,3,1,2,0
5 sao,"đồ ăn ngon, nằm trên tầng thượng thoải mái, mong mọi người biết tới nhiều hơn, đáng trãi nghiệm",19,2,0,2,0
4 sao,"mình có đến ba gác cho buổi ăn của công tình yêu. - chất lượng món ăn: nhìn chung tạm ổn, không quá đặc sác. tôm tái sốt ớt đỏ, tôm cảm giác không quá tươi, không cảm nhận được vị ngọt và săn của tôm. món bò mỹ xì xèo ăn ổn, bò mềm và có viên khoai rất bắt vị. - dịch vụ: nhân viên nhiệt tình, phục vụ ổn - bầu không khí: khá loãng, không náo nhiệt, nhac được mở không tạo được sự phấn khởi",88,3,2,1,0
2 sao,menu quá it món và khong ngon nhu ở chi nhánh khác. chỗ ngồi thoáng mát.,16,1,0,2,0
1 sao,"lừa đảo, tư vấn 1 đằng, tính 1 nẻo. lúc mới kêu khách chọn tặng bia, combo giảm 199 vnd. xong tính tiền kêu không được, được 1 trong 2, mà trước lúc đó tư vấn lằn nhằn xin lỗi vì nhầm anh qly không cho, vẫn ổn. xong giảm giá các kiểu xog không được, cũng không 1 lời xin lỗi, rồi nhân viên chùn mất tiêu, khách nói gì cũng câm câm cái miệng lại. sợ, thoát hội viên lẹ",81,0,1,0,1
