place_name,user,rating,time,text,source_file,clean_text,word_count,food,service,place,price
Cơm tấm Việt Thảo,Hoàng Quân,1.0,2 tháng trước,"Đồ ăn thiu, 2 vc mình đi ăn lúc 20h tối, về trúng thực tới nay 2 ngày",google_maps_reviews_20260517_131018.csv,đồ ăn thiu vc mình đi ăn lúc h tối về trúng thực tới nay ngày,16,1,0,0,0
Cơm tấm Việt Thảo,Kiên Kiên,1.0,8 tháng trước,"Buốn bán vỉa hè chiếm dụng lòng lề đường, gây mất an ninh trật tự an toàn giao thông vi phạm phòng cháy chữa cháy, đề nghị cơ quan chức năng xử lý nghiêm",google_maps_reviews_20260517_131018.csv,buốn bán vỉa hè chiếm dụng lòng lề đường gây mất an ninh trật tự an toàn giao thông vi phạm phòng cháy chữa cháy đề nghị cơ quan chức năng xử lý nghiêm,34,0,0,0,0
Cục Gạch Quán,Hữu Duy Trương,1.0,một năm trước,"Quán nấu đồ ăn thua cơm nhà nấu,không có gì xuất sắc,cá kho nhiều xương,thịt kho mình còn ko thèm đụng tới ! Phục vụ bình thường ! So expensive !
Trãi nghiệm 1 lần nhưng rất tệ ! Sẽ không ghé lại",google_maps_reviews_20260517_131018.csv,quán nấu đồ ăn thua cơm nhà nấu không có gì xuất sắc cá kho nhiều xương thịt kho mình còn ko thèm đụng tới phục vụ bình thường so expensive trãi nghiệm lần nhưng rất tệ sẽ không ghé lại,41,1,3,0,1
Cục Gạch Quán,Vọng Phạm,1.0,9 tháng trước,Bv ở đây quá tuệ. Chuyện sắp xếp xe cung nạt nộ. Ko có chổ đỗ xe. Trãi nghiệm tuệ,google_maps_reviews_20260517_131018.csv,bv ở đây quá tuệ chuyện sắp xếp xe cung nạt nộ ko có chổ đỗ xe trãi nghiệm tuệ,20,0,1,1,0
Cục Gạch Quán,Viet Ha,1.0,một năm trước,"Thái độ phục vụ khó chịu vô cùng.
Đồ ăn không ngon, cơm sượng; lên món chậm/ đứt quảng- ăn nữa chừng ngồi đợi món tiếp theo. Hỏi ko ai dạ, thưa dù lúc nào cũng có nhân viên lượn qua lượn lại …",google_maps_reviews_20260517_131018.csv,thái độ phục vụ khó chịu vô cùng đồ ăn không ngon cơm sượng lên món chậm đứt quảng ăn nữa chừng ngồi đợi món tiếp theo hỏi ko ai dạ thưa dù lúc nào cũng có nhân viên lượn qua lượn lại,43,1,1,0,0
Cục Gạch Quán,Kevinpccc1987 Le,1.0,7 tháng trước,Bảo vệ nói chuyện rất thái độ và mất dại,google_maps_reviews_20260517_131018.csv,bảo vệ nói chuyện rất thái độ và mất dại,10,0,1,0,0
Cục Gạch Quán,K2_ Võ Minh Lâm,1.0,một năm trước,1 dĩa rau nhỏ xíu 120 ngàn mắc đã đành. Trứng luộc lòng đào 60 ngàn 1 quả. 2 quả 120 ngàn. Má ơi. Dao nè. Cắt cổ tui luôn đi. Món từ mắc đến quá mắc.,google_maps_reviews_20260517_131018.csv,dĩa rau nhỏ xíu ngàn mắc đã đành trứng luộc lòng đào ngàn quả quả ngàn má ơi dao nè cắt cổ tui luôn đi món từ mắc đến quá mắc,31,0,0,0,1
Cục Gạch Quán,Nguyễn,1.0,một năm trước,"Khách gọi tổng đài 2 cuộc order lại chuyển zalo , zalo xong kêu qua grab đặt qua grab không thấy menu canh chua ? Sao order mang về khó quá ? Liệu không muốn bán ?",google_maps_reviews_20260517_131018.csv,khách gọi tổng đài cuộc order lại chuyển zalo zalo xong kêu qua grab đặt qua grab không thấy menu canh chua sao order mang về khó quá liệu không muốn bán,32,0,1,0,0
Cục Gạch Quán,Fillip,1.0,một năm trước,"Bữa ăn tệ nhất ở Việt Nam. Đồ ăn đắt một cách vô lý, nguyên liệu không tươi, và như những người đánh giá khác đã đề cập, món nào cũng có vị lạ.",google_maps_reviews_20260517_131018.csv,bữa ăn tệ nhất ở việt nam đồ ăn đắt một cách vô lý nguyên liệu không tươi và như những người đánh giá khác đã đề cập món nào cũng có vị lạ,34,1,0,0,1
Cục Gạch Quán,Danh Lưu Lê,1.0,2 năm trước,"Thức ăn ngon, bầu không khí phù hợp với gia đình.
Tuy nhiên review 1 sao vì thái độ của bảo vệ giữ xe, dắt xe cho khách mà như vứt xe vậy, không xứng đáng với tập thể vận hành quán.
18h45 ngày 1-9-2023",google_maps_reviews_20260517_131018.csv,thức ăn ngon bầu không khí phù hợp với gia đình tuy nhiên review sao vì thái độ của bảo vệ giữ xe dắt xe cho khách mà như vứt xe vậy không xứng đáng với tập thể vận hành quán h ngày,43,2,1,2,0
Cục Gạch Quán,Viet Nguyen,1.0,9 tháng trước,"Phục vụ chậm, món chính được dọn ra sau món súp, tôi không hiểu họ đang nghĩ gì :))",google_maps_reviews_20260517_131018.csv,phục vụ chậm món chính được dọn ra sau món súp tôi không hiểu họ đang nghĩ gì,18,0,1,0,0
Cục Gạch Quán,Tien Nguyen,1.0,một năm trước,1 phần cơm trắng thêm mà quán bán với giá 120 nghìn. Mình thật sự bất ngờ vì những quán chặt chém như vậy vẫn có thể tồn tại chễm chệ giữa đất sài gòn này,google_maps_reviews_20260517_131018.csv,phần cơm trắng thêm mà quán bán với giá nghìn mình thật sự bất ngờ vì những quán chặt chém như vậy vẫn có thể tồn tại chễm chệ giữa đất sài gòn này,34,0,0,0,1
Cục Gạch Quán,Thanh Trà,1.0,2 năm trước,"Nói chung là dở , thịt luộc cuốn bánh tráng mà cái phần bún bị dính gì đen đen giống sìn , mình quên không chụp lại . Mình hỏi nv rồi bạn đó đi hỏi cái cô qli cũng ko trả lời lại mình . …",google_maps_reviews_20260517_131018.csv,nói chung là dở thịt luộc cuốn bánh tráng mà cái phần bún bị dính gì đen đen giống sìn mình quên không chụp lại mình hỏi nv rồi bạn đó đi hỏi cái cô qli cũng ko trả lời lại mình,42,1,1,0,0
Cục Gạch Quán,Love Coffee,1.0,một năm trước,"Đồ ăn ở đây thì bình thường thôi! Có thể ăn cái vị bình dân này ở bất kì quán cơm niêu khác với giá rẻ hơn nhiều!!!
Nhưng không hiểu sao ở đây giá đắt như vậy??? …",google_maps_reviews_20260517_131018.csv,đồ ăn ở đây thì bình thường thôi có thể ăn cái vị bình dân này ở bất kì quán cơm niêu khác với giá rẻ hơn nhiều nhưng không hiểu sao ở đây giá đắt như vậy,38,3,0,0,1
Cục Gạch Quán,Chau Nguyen,1.0,2 năm trước,"Đồ ăn tạm ko nói vì liên quan đến khẩu vị.
Thái độ xem thường khách. Đi 2 người gọi canh và nấm kho thì được hỏi "" anh chị ko gọi món mặn ah"" Mình bảo ko vì thực tế khẩu phần ở đây nhiều nhà mình ăn vẫn …",google_maps_reviews_20260517_131018.csv,đồ ăn tạm ko nói vì liên quan đến khẩu vị thái độ xem thường khách đi người gọi canh và nấm kho thì được hỏi anh chị ko gọi món mặn ah mình bảo ko vì thực tế khẩu phần ở đây nhiều nhà mình ăn vẫn,48,3,1,0,0
Cục Gạch Quán,vinhkhang huynh,1.0,một năm trước,"Nhân viên có thái độ tệ, không tiếp đón khách

The staff has a bad attitude, does not welcome guests",google_maps_reviews_20260517_131018.csv,nhân viên có thái độ tệ không tiếp đón khách the staff has a bad attitude does not welcome guests,20,0,1,0,0
Cục Gạch Quán,Jesper Eriksson,1.0,một năm trước,"Chúng tôi thực sự không hài lòng. Không thể ăn hết vì món ăn có vị rất tệ. Phục vụ rất chậm, chúng tôi nói là đang vội thanh toán nhưng họ chẳng hề quan tâm.",google_maps_reviews_20260517_131018.csv,chúng tôi thực sự không hài lòng không thể ăn hết vì món ăn có vị rất tệ phục vụ rất chậm chúng tôi nói là đang vội thanh toán nhưng họ chẳng hề quan tâm,36,1,1,0,0
Cục Gạch Quán,Uyên Nguyễn,1.0,6 năm trước,"Book  bàn cho 11 người ăn tối trong đó có 7 người việt và 4 ngươi nước ngoài.  Mình order  vài món khai vị và món tôm càng  sốt me,  vài món chính, cơm và lẩu. Mình tới nhà hàng lúc 6:15pm và ăn xong lúc 8:10pm. …",google_maps_reviews_20260517_131018.csv,book bàn cho người ăn tối trong đó có người việt và ngươi nước ngoài mình order vài món khai vị và món tôm ca ng sô t me vài món chính cơm và lẩu mình tới nhà hàng lúc pm và ăn xong lúc pm,46,0,0,0,0
Cục Gạch Quán,Kim Thiên Phạm,1.0,2 năm trước,"Thái độ nhân viên cực kì tệ, order khách gọi 2 3 lần ko thèm trả lời, nhân viên ra order thì chống tay lên bàn như ngoài chợ. Quá kém !",google_maps_reviews_20260517_131018.csv,thái độ nhân viên cực kì tệ order khách gọi lần ko thèm trả lời nhân viên ra order thì chống tay lên bàn như ngoài chợ quá kém,29,0,1,0,0
Cục Gạch Quán,Nguyen Minh Tuan,1.0,Thời gian chỉnh sửa: 3 năm trước,"Đã đặt trước bàn , xong hôm sau đến thì được bảo không có trong danh sách ....
Bảo nhờ đi xác nhận lại dùm thì hơn 30p đi không thấy hồi âm luôn",google_maps_reviews_20260517_131018.csv,đã đặt trước bàn xong hôm sau đến thì được bảo không có trong danh sách bảo nhờ đi xác nhận lại dùm thì hơn p đi không thấy hồi âm luôn,32,0,1,0,0
Cục Gạch Quán,Bryan Ng,1.0,2 năm trước,"Trải nghiệm rất tồi tệ khi ăn tại nhà hàng.
Đồ ăn không nóng, trình bày xấu.
Phục vụ chậm. Gọi cái ống hút thay cho ống hút bị hư mất 1 tiếng.
Điểm cộng duy nhất là không gian cũng không có gì đặc biệt.",google_maps_reviews_20260517_131018.csv,trải nghiệm rất tồi tệ khi ăn tại nhà hàng đồ ăn không nóng trình bày xấu phục vụ chậm gọi cái ống hút thay cho ống hút bị hư mất tiếng điểm cộng duy nhất là không gian cũng không có gì đặc biệt,45,1,1,3,0
Cục Gạch Quán,Tho Nguyen Huu,1.0,4 năm trước,"Quá tệ! Đồ ăn ko ngon, phục vụ dở, ko tôn trọng khách hàng. Mình rất kiên nhẫn nhưng nhà hàng hành xử kiểu bất cần biết đến khách hàng, chỉ cần bán đc hàng thu tiền thôi.",google_maps_reviews_20260517_131018.csv,quá tệ đồ ăn ko ngon phục vụ dở ko tôn trọng khách hàng mình rất kiên nhẫn nhưng nhà hàng hành xử kiểu bất cần biết đến khách hàng chỉ cần bán đc hàng thu tiền thôi,38,1,1,0,0
Cục Gạch Quán,Yes Please,1.0,3 năm trước,"Đồ ăn ngon nhưng giá cả quá đắt. Các món ăn Việt Nam khá đơn giản, nhưng giá cao gấp 5 lần. 0/10, không nên đến. Nhân viên phục vụ cũng tệ/không biết gì.",google_maps_reviews_20260517_131018.csv,đồ ăn ngon nhưng giá cả quá đắt các món ăn việt nam khá đơn giản nhưng giá cao gấp lần không nên đến nhân viên phục vụ cũng tệ không biết gì,33,2,1,0,1
Cục Gạch Quán,김진수,1.0,7 năm trước,Ngoại trừ không gian thì chẳng có gì khác. Giá đồ ăn cao hơn nhiều so với các nhà hàng khác nhưng hương vị thì bình thường.,google_maps_reviews_20260517_131018.csv,ngoại trừ không gian thì chẳng có gì khác giá đồ ăn cao hơn nhiều so với các nhà hàng khác nhưng hương vị thì bình thường,27,3,0,3,1
